Model,n_qubits,n_layers,Epochs,Final_Loss,Train_Time(s)
Quantum_VAE,4,2,3,4998.46613984375,58.21
Quantum_GAN,4,2,3,48.18278557332357,63.9
Quantum_VAE,4,3,3,4981.32111796875,58.15
Quantum_GAN,4,3,3,41.864211313883466,48.13
Quantum_VAE,4,4,3,5391.8457234375,57.69
Quantum_GAN,4,4,3,6.465825627432267,45.21
Quantum_VAE,6,2,3,4958.911197265625,61.95
Quantum_GAN,6,2,3,30.559448311086495,78.96
Quantum_VAE,6,3,3,4944.362004817708,75.5
Quantum_GAN,6,3,3,12.480321799564361,69.78
Quantum_VAE,6,4,3,4909.001171223958,57.38
Quantum_GAN,6,4,3,31.41161635538737,80.14
Quantum_VAE,8,2,3,4525.485395703125,68.3
Quantum_GAN,8,2,3,34.44205738315582,74.51
Quantum_VAE,8,3,3,4794.904429817709,66.22
Quantum_GAN,8,3,3,9.134765093795458,72.79
Quantum_VAE,8,4,3,4612.01295078125,68.04
Quantum_GAN,8,4,3,10.984210996898016,72.41
